reader ; latitude ; longitude 
urn:unicaen:iotatester:xxxx:ssl:1,1 ; -16.841 ; -70.964
urn:unicaen:iotatester:xxxx:ssl:1,2 ; -5.145 ; -81.099
urn:unicaen:iotatester:xxxx:ssl:2,1 ; 27.507 ; 113.708
urn:unicaen:iotatester:xxxx:ssl:2,2 ; 19.035 ; 109.654
urn:unicaen:iotatester:xxxx:ssl:3,1 ; 51.705 ; -72.991
urn:unicaen:iotatester:xxxx:ssl:3,2 ; 50.144 ; -60.605
urn:unicaen:iotatester:xxxx:ssl:4,1 ; 8.134 ; 77.393
urn:unicaen:iotatester:xxxx:ssl:5,1 ; -34.612 ; 19.944
urn:unicaen:iotatester:xxxx:ssl:4,2 ; 21.065 ; 82.74
urn:unicaen:iotatester:xxxx:ssl:5,2 ; -31.196 ; 23.62
urn:unicaen:iotatester:xxxx:ssl:4,3 ; 34.044 ; 74.926
urn:unicaen:iotatester:xxxx:ssl:5,3 ; -34.058 ; 25.675
urn:unicaen:iotatester:xxxx:ssl:6,1 ; 44.488 ; 6.611
urn:unicaen:iotatester:xxxx:ssl:7,1 ; 43.646 ; 3.841
urn:unicaen:iotatester:xxxx:ssl:8,1 ; 43.491 ; -0.99
urn:unicaen:iotatester:xxxx:ssl:6,2 ; 51.128 ; 20.25
urn:unicaen:iotatester:xxxx:ssl:7,2 ; 42.692 ; 2.607
urn:unicaen:iotatester:xxxx:ssl:8,2 ; 45.367 ; -1.022
urn:unicaen:iotatester:xxxx:ssl:9,1 ; 48.283 ; -4.222
urn:unicaen:iotatester:xxxx:ssl:9,2 ; 48.787 ; -3.379
