reader ; latitude ; longitude 
urn:unicaen:iotatester:xxxx:ssl:1,1 ; 63.4 ; 8.02
urn:unicaen:iotatester:xxxx:ssl:2,1 ; 55.55 ; 14.39
urn:unicaen:iotatester:xxxx:ssl:3,1 ; 61.17 ; -150.02
urn:unicaen:iotatester:xxxx:ssl:4,1 ; 47.99 ; -4.09
urn:unicaen:iotatester:xxxx:ssl:5,1 ; 53.13 ; 18.0
urn:unicaen:iotatester:xxxx:ssl:4,2 ; 47.99 ; -4.09
urn:unicaen:iotatester:xxxx:ssl:5,2 ; 53.13 ; 18.0
urn:unicaen:iotatester:xxxx:ssl:6,1 ; 31.06 ; 121.22
urn:unicaen:iotatester:xxxx:ssl:6,2 ; 31.06 ; 121.22
urn:unicaen:iotatester:xxxx:ssl:7,1 ; 48.69 ; 6.18
urn:unicaen:iotatester:xxxx:ssl:7,2 ; 48.69 ; 6.18
urn:unicaen:iotatester:xxxx:ssl:7,3 ; 41.68 ; 12.36
urn:unicaen:iotatester:xxxx:ssl:8,1 ; 22.15 ; 114.1
urn:unicaen:iotatester:xxxx:ssl:8,2 ; 22.15 ; 114.1
urn:unicaen:iotatester:xxxx:ssl:10,1 ; 50.85 ; 4.35
urn:unicaen:iotatester:xxxx:ssl:9,1 ; 41.88 ; -87.57
urn:unicaen:iotatester:xxxx:ssl:9,2 ; 41.88 ; -87.57
urn:unicaen:iotatester:xxxx:ssl:10,2 ; 50.85 ; 4.35
urn:unicaen:iotatester:xxxx:ssl:7,4 ; 41.68 ; 12.36
